,f,fv,value
7034,0.170,1.000,1828.3999999999996
7233,0.175,0.990,1921.7999999999993
7234,0.175,0.995,1650.7000000000007
7235,0.175,1.000,1524.7999999999993
7432,0.180,0.980,2105.7000000000007
7433,0.180,0.985,1693.6000000000004
7434,0.180,0.990,1547.0
7435,0.180,0.995,1456.0
7436,0.180,1.000,1390.1000000000004
7632,0.185,0.975,1754.2999999999993
7633,0.185,0.980,1575.3999999999996
7634,0.185,0.985,1473.2000000000007
7635,0.185,0.990,1401.5
7636,0.185,0.995,1346.3999999999996
7637,0.185,1.000,1301.7999999999993
7831,0.190,0.965,1848.1000000000004
7832,0.190,0.970,1612.7000000000007
7833,0.190,0.975,1494.7999999999993
7834,0.190,0.980,1415.7999999999993
7835,0.190,0.985,1356.3999999999996
7836,0.190,0.990,1308.8999999999996
7837,0.190,0.995,1269.3999999999996
7838,0.190,1.000,1235.7000000000007
8030,0.195,0.955,2028.7999999999993
8031,0.195,0.960,1663.2999999999993
8032,0.195,0.965,1522.1000000000004
8033,0.195,0.970,1433.2999999999993
8034,0.195,0.975,1368.6000000000004
8035,0.195,0.980,1317.7999999999993
8036,0.195,0.985,1275.8999999999996
8037,0.195,0.990,1240.5
8038,0.195,0.995,1209.7999999999993
8039,0.195,1.000,1182.7000000000007
8230,0.200,0.950,1736.2000000000007
8231,0.200,0.955,1557.2999999999993
8232,0.200,0.960,1455.2000000000007
8233,0.200,0.965,1383.6000000000004
8234,0.200,0.970,1328.5
8235,0.200,0.975,1283.8999999999996
8236,0.200,0.980,1246.5
8237,0.200,0.985,1214.2000000000007
8238,0.200,0.990,1186.0
8239,0.200,0.995,1160.7999999999993
8240,0.200,1.000,1138.2000000000007
8429,0.205,0.940,1855.7000000000007
8430,0.205,0.945,1604.1000000000004
8431,0.205,0.950,1482.5
8432,0.205,0.955,1401.8999999999996
8433,0.205,0.960,1341.7000000000007
8434,0.205,0.965,1293.7000000000007
8435,0.205,0.970,1253.7999999999993
8436,0.205,0.975,1219.7999999999993
8437,0.205,0.980,1190.2000000000007
8438,0.205,0.985,1164.0
8439,0.205,0.990,1140.5
8440,0.205,0.995,1119.2999999999993
8441,0.205,1.000,1099.8999999999996
8628,0.210,0.930,2144.5
8629,0.210,0.935,1669.7000000000007
8630,0.210,0.940,1517.5
8631,0.210,0.945,1424.5
8632,0.210,0.950,1357.6000000000004
8633,0.210,0.955,1305.3999999999996
8634,0.210,0.960,1262.7000000000007
8635,0.210,0.965,1226.6000000000004
8636,0.210,0.970,1195.5
8637,0.210,0.975,1168.0
8638,0.210,0.980,1143.6000000000004
8639,0.210,0.985,1121.5
8640,0.210,0.990,1101.5
8641,0.210,0.995,1083.1000000000004
8642,0.210,1.000,1066.1000000000004
8828,0.215,0.925,1771.7999999999993
8829,0.215,0.930,1563.5
8830,0.215,0.935,1452.7000000000007
8831,0.215,0.940,1377.0
8832,0.215,0.945,1319.6000000000004
8833,0.215,0.950,1273.3999999999996
8834,0.215,0.955,1234.8999999999996
8835,0.215,0.960,1201.8999999999996
8836,0.215,0.965,1173.0
8837,0.215,0.970,1147.3999999999996
8838,0.215,0.975,1124.3999999999996
8839,0.215,0.980,1103.6000000000004
8840,0.215,0.985,1084.6000000000004
8841,0.215,0.990,1067.1000000000004
8842,0.215,0.995,1050.8999999999996
8843,0.215,1.000,1035.8999999999996
9027,0.220,0.915,1977.2999999999993
9028,0.220,0.920,1627.5
9029,0.220,0.925,1488.6000000000004
9030,0.220,0.930,1400.7999999999993
9031,0.220,0.935,1336.7000000000007
9032,0.220,0.940,1286.2000000000007
9033,0.220,0.945,1244.7000000000007
9034,0.220,0.950,1209.6000000000004
9035,0.220,0.955,1179.0
9036,0.220,0.960,1152.2000000000007
9037,0.220,0.965,1128.1000000000004
9038,0.220,0.970,1106.5
9039,0.220,0.975,1086.7000000000007
9040,0.220,0.980,1068.6000000000004
9041,0.220,0.985,1051.8999999999996
9042,0.220,0.990,1036.3999999999996
9043,0.220,0.995,1022.0
9044,0.220,1.000,1008.5
9227,0.225,0.910,1725.5
9228,0.225,0.915,1535.8999999999996
9229,0.225,0.920,1430.6000000000004
9230,0.225,0.925,1357.5
9231,0.225,0.930,1301.6000000000004
9232,0.225,0.935,1256.5
9233,0.225,0.940,1218.7000000000007
9234,0.225,0.945,1186.2999999999993
9235,0.225,0.950,1157.8999999999996
9236,0.225,0.955,1132.7000000000007
9237,0.225,0.960,1110.0
9238,0.225,0.965,1089.5
9239,0.225,0.970,1070.7000000000007
9240,0.225,0.975,1053.3999999999996
9241,0.225,0.980,1037.3999999999996
9242,0.225,0.985,1022.5
9243,0.225,0.990,1008.6000000000004
9244,0.225,0.995,995.6000000000004
9245,0.225,1.000,983.2999999999993
9426,0.230,0.900,1915.0
9427,0.230,0.905,1601.7999999999993
9428,0.230,0.910,1468.6000000000004
9429,0.230,0.915,1383.1000000000004
9430,0.230,0.920,1320.2000000000007
9431,0.230,0.925,1270.6000000000004
9432,0.230,0.930,1229.7000000000007
9433,0.230,0.935,1194.8999999999996
9434,0.230,0.940,1164.7999999999993
9435,0.230,0.945,1138.2000000000007
9436,0.230,0.950,1114.3999999999996
9437,0.230,0.955,1092.8999999999996
9438,0.230,0.960,1073.2999999999993
9439,0.230,0.965,1055.3999999999996
9440,0.230,0.970,1038.7999999999993
9441,0.230,0.975,1023.5
9442,0.230,0.980,1009.1000000000004
9443,0.230,0.985,995.7000000000007
9444,0.230,0.990,983.1000000000004
9445,0.230,0.995,971.2999999999993
9446,0.230,1.000,960.1000000000004
9626,0.235,0.895,1703.3999999999996
9627,0.235,0.900,1518.8999999999996
9628,0.235,0.905,1415.1000000000004
9629,0.235,0.910,1342.7999999999993
9630,0.235,0.915,1287.5
9631,0.235,0.920,1242.7000000000007
9632,0.235,0.925,1205.2000000000007
9633,0.235,0.930,1172.8999999999996
9634,0.235,0.935,1144.7000000000007
9635,0.235,0.940,1119.6000000000004
9636,0.235,0.945,1097.1000000000004
9637,0.235,0.950,1076.7000000000007
9638,0.235,0.955,1058.0
9639,0.235,0.960,1040.7999999999993
9640,0.235,0.965,1024.8999999999996
9641,0.235,0.970,1010.1000000000004
9642,0.235,0.975,996.2999999999993
9643,0.235,0.980,983.2999999999993
9644,0.235,0.985,971.1000000000004
9645,0.235,0.990,959.6000000000004
9646,0.235,0.995,948.7000000000007
9647,0.235,1.000,938.3999999999996
9825,0.240,0.885,1905.3999999999996
9826,0.240,0.890,1589.8999999999996
9827,0.240,0.895,1456.2999999999993
9828,0.240,0.900,1370.7000000000007
9829,0.240,0.905,1307.7999999999993
9830,0.240,0.910,1258.2000000000007
9831,0.240,0.915,1217.2999999999993
9832,0.240,0.920,1182.6000000000004
9833,0.240,0.925,1152.5
9834,0.240,0.930,1125.8999999999996
9835,0.240,0.935,1102.2000000000007
9836,0.240,0.940,1080.7999999999993
9837,0.240,0.945,1061.2000000000007
9838,0.240,0.950,1043.2999999999993
9839,0.240,0.955,1026.7999999999993
9840,0.240,0.960,1011.5
9841,0.240,0.965,997.2000000000007
9842,0.240,0.970,983.7999999999993
9843,0.240,0.975,971.2999999999993
9844,0.240,0.980,959.5
9845,0.240,0.985,948.2999999999993
9846,0.240,0.990,937.7000000000007
9847,0.240,0.995,927.7000000000007
9848,0.240,1.000,918.1000000000004
10025,0.245,0.880,1702.5
10026,0.245,0.885,1511.6000000000004
10027,0.245,0.890,1405.8999999999996
10028,0.245,0.895,1332.7000000000007
10029,0.245,0.900,1276.8999999999996
10030,0.245,0.905,1231.7999999999993
10031,0.245,0.910,1194.1000000000004
10032,0.245,0.915,1161.7000000000007
10033,0.245,0.920,1133.3999999999996
10034,0.245,0.925,1108.2000000000007
10035,0.245,0.930,1085.7000000000007
10036,0.245,0.935,1065.2000000000007
10037,0.245,0.940,1046.5
10038,0.245,0.945,1029.2999999999993
10039,0.245,0.950,1013.3999999999996
10040,0.245,0.955,998.6000000000004
10041,0.245,0.960,984.7999999999993
10042,0.245,0.965,971.7999999999993
10043,0.245,0.970,959.7000000000007
10044,0.245,0.975,948.2000000000007
10045,0.245,0.980,937.2999999999993
10046,0.245,0.985,927.0
10047,0.245,0.990,917.2000000000007
10048,0.245,0.995,907.8999999999996
10049,0.245,1.000,899.0
10224,0.250,0.870,1949.6000000000004
10225,0.250,0.875,1591.5
10226,0.250,0.880,1451.7000000000007
10227,0.250,0.885,1363.6000000000004
10228,0.250,0.890,1299.3999999999996
10229,0.250,0.895,1249.1000000000004
10230,0.250,0.900,1207.6000000000004
10231,0.250,0.905,1172.6000000000004
10232,0.250,0.910,1142.2000000000007
10233,0.250,0.915,1115.3999999999996
10234,0.250,0.920,1091.5
10235,0.250,0.925,1070.0
10236,0.250,0.930,1050.3999999999996
10237,0.250,0.935,1032.3999999999996
10238,0.250,0.940,1015.7999999999993
10239,0.250,0.945,1000.5
10240,0.250,0.950,986.2000000000007
10241,0.250,0.955,972.7999999999993
10242,0.250,0.960,960.2000000000007
10243,0.250,0.965,948.3999999999996
10244,0.250,0.970,937.2000000000007
10245,0.250,0.975,926.6000000000004
10246,0.250,0.980,916.6000000000004
10247,0.250,0.985,907.1000000000004
10248,0.250,0.990,898.0
10249,0.250,0.995,889.2999999999993
10250,0.250,1.000,881.0
10424,0.255,0.865,1725.6000000000004
10425,0.255,0.870,1514.5
10426,0.255,0.875,1403.0
10427,0.255,0.880,1327.2000000000007
10428,0.255,0.885,1269.7999999999993
10429,0.255,0.890,1223.7999999999993
10430,0.255,0.895,1185.3999999999996
10431,0.255,0.900,1152.5
10432,0.255,0.905,1123.8999999999996
10433,0.255,0.910,1098.3999999999996
10434,0.255,0.915,1075.7000000000007
10435,0.255,0.920,1055.0
10436,0.255,0.925,1036.2000000000007
10437,0.255,0.930,1018.8999999999996
10438,0.255,0.935,1002.8999999999996
10439,0.255,0.940,988.0
10440,0.255,0.945,974.1000000000004
10441,0.255,0.950,961.2000000000007
10442,0.255,0.955,948.8999999999996
10443,0.255,0.960,937.3999999999996
10444,0.255,0.965,926.6000000000004
10445,0.255,0.970,916.2000000000007
10446,0.255,0.975,906.3999999999996
10447,0.255,0.980,897.1000000000004
10448,0.255,0.985,888.2000000000007
10449,0.255,0.990,879.7000000000007
10450,0.255,0.995,871.6000000000004
10451,0.255,1.000,863.7999999999993
10623,0.260,0.855,2106.7999999999993
10624,0.260,0.860,1609.0
10625,0.260,0.865,1455.2999999999993
10626,0.260,0.870,1362.1000000000004
10627,0.260,0.875,1295.2000000000007
10628,0.260,0.880,1243.1000000000004
10629,0.260,0.885,1200.6000000000004
10630,0.260,0.890,1164.7999999999993
10631,0.260,0.895,1133.7999999999993
10632,0.260,0.900,1106.6000000000004
10633,0.260,0.905,1082.3999999999996
10634,0.260,0.910,1060.5
10635,0.260,0.915,1040.7000000000007
10636,0.260,0.920,1022.6000000000004
10637,0.260,0.925,1005.8999999999996
10638,0.260,0.930,990.3999999999996
10639,0.260,0.935,976.0
10640,0.260,0.940,962.5
10641,0.260,0.945,949.8999999999996
10642,0.260,0.950,938.0
10643,0.260,0.955,926.7999999999993
10644,0.260,0.960,916.2000000000007
10645,0.260,0.965,906.1000000000004
10646,0.260,0.970,896.5
10647,0.260,0.975,887.3999999999996
10648,0.260,0.980,878.7000000000007
10649,0.260,0.985,870.3999999999996
10650,0.260,0.990,862.3999999999996
10651,0.260,0.995,854.7999999999993
10652,0.260,1.000,847.5
