,f,fv,value
10450,0.255,0.995,2131.6000000000004
10451,0.255,1.000,1641.8999999999996
10650,0.260,0.990,1810.2000000000007
10651,0.260,0.995,1560.2999999999993
10652,0.260,1.000,1438.8999999999996
10850,0.265,0.985,1674.0
10851,0.265,0.990,1498.7999999999993
10852,0.265,0.995,1397.7000000000007
10853,0.265,1.000,1326.6000000000004
11049,0.270,0.975,1921.2999999999993
11050,0.270,0.980,1586.3999999999996
11051,0.270,0.985,1449.3999999999996
11052,0.270,0.990,1362.2000000000007
11053,0.270,0.995,1298.2999999999993
11054,0.270,1.000,1248.0
11249,0.275,0.970,1739.2000000000007
11250,0.275,0.975,1521.6000000000004
11251,0.275,0.980,1408.1000000000004
11252,0.275,0.985,1331.1000000000004
11253,0.275,0.990,1272.8999999999996
11254,0.275,0.995,1226.2000000000007
11255,0.275,1.000,1187.2000000000007
11448,0.280,0.960,2364.0
11449,0.280,0.965,1635.2000000000007
11450,0.280,0.970,1470.2000000000007
11451,0.280,0.975,1372.6000000000004
11452,0.280,0.980,1303.2999999999993
11453,0.280,0.985,1249.7000000000007
11454,0.280,0.990,1206.0
11455,0.280,0.995,1169.2000000000007
11456,0.280,1.000,1137.5
11648,0.285,0.955,1881.3999999999996
11649,0.285,0.960,1562.2000000000007
11650,0.285,0.965,1427.7000000000007
11651,0.285,0.970,1341.6000000000004
11652,0.285,0.975,1278.2999999999993
11653,0.285,0.980,1228.3999999999996
11654,0.285,0.985,1187.2000000000007
11655,0.285,0.990,1152.2999999999993
11656,0.285,0.995,1122.0
11657,0.285,1.000,1095.2000000000007
11848,0.290,0.950,1727.7000000000007
11849,0.290,0.955,1505.8999999999996
11850,0.290,0.960,1391.3999999999996
11851,0.290,0.965,1313.8999999999996
11852,0.290,0.970,1255.5
11853,0.290,0.975,1208.7000000000007
11854,0.290,0.980,1169.7000000000007
11855,0.290,0.985,1136.3999999999996
11856,0.290,0.990,1107.2999999999993
11857,0.290,0.995,1081.5
11858,0.290,1.000,1058.3999999999996
12048,0.295,0.945,1633.7000000000007
12049,0.295,0.950,1460.2000000000007
12050,0.295,0.955,1359.7999999999993
12051,0.295,0.960,1289.1000000000004
12052,0.295,0.965,1234.6000000000004
12053,0.295,0.970,1190.3999999999996
12054,0.295,0.975,1153.2999999999993
12055,0.295,0.980,1121.2999999999993
12056,0.295,0.985,1093.2999999999993
12057,0.295,0.990,1068.3999999999996
12058,0.295,0.995,1046.0
12059,0.295,1.000,1025.6000000000004
12247,0.300,0.935,1957.1000000000004
12248,0.300,0.940,1566.0
12249,0.300,0.945,1421.7000000000007
12250,0.300,0.950,1331.7999999999993
12251,0.300,0.955,1266.5
12252,0.300,0.960,1215.2999999999993
12253,0.300,0.965,1173.2999999999993
12254,0.300,0.970,1137.7999999999993
12255,0.300,0.975,1107.1000000000004
12256,0.300,0.980,1080.0
12257,0.300,0.985,1055.7999999999993
12258,0.300,0.990,1034.0
12259,0.300,0.995,1014.2000000000007
12260,0.300,1.000,996.1000000000004
12447,0.305,0.930,1779.0
12448,0.305,0.935,1513.2000000000007
12449,0.305,0.940,1388.6000000000004
12450,0.305,0.945,1306.7000000000007
12451,0.305,0.950,1245.7999999999993
12452,0.305,0.955,1197.3999999999996
12453,0.305,0.960,1157.2999999999993
12454,0.305,0.965,1123.2000000000007
12455,0.305,0.970,1093.5
12456,0.305,0.975,1067.2999999999993
12457,0.305,0.980,1043.7999999999993
12458,0.305,0.985,1022.6000000000004
12459,0.305,0.990,1003.2999999999993
12460,0.305,0.995,985.5
12461,0.305,1.000,969.1000000000004
