,f,fv,value
17486,0.430,1.000,1777.2000000000007
17685,0.435,0.990,1826.5
17686,0.435,0.995,1564.7999999999993
17687,0.435,1.000,1441.3999999999996
17884,0.440,0.980,1916.7000000000007
17885,0.440,0.985,1585.7999999999993
17886,0.440,0.990,1450.0
17887,0.440,0.995,1363.7000000000007
17888,0.440,1.000,1300.5
18083,0.445,0.970,2126.2999999999993
18084,0.445,0.975,1618.1000000000004
18085,0.445,0.980,1463.7999999999993
18086,0.445,0.985,1370.3999999999996
18087,0.445,0.990,1303.5
18088,0.445,0.995,1251.6000000000004
18089,0.445,1.000,1209.2000000000007
18283,0.450,0.965,1667.6000000000004
18284,0.450,0.970,1484.1000000000004
18285,0.450,0.975,1380.8999999999996
18286,0.450,0.980,1309.1000000000004
18287,0.450,0.985,1254.2000000000007
18288,0.450,0.990,1209.8999999999996
18289,0.450,0.995,1172.7999999999993
18290,0.450,1.000,1140.8999999999996
18482,0.455,0.955,1748.0
18483,0.455,0.960,1513.2000000000007
18484,0.455,0.965,1396.0
18485,0.455,0.970,1317.7000000000007
18486,0.455,0.975,1259.1000000000004
18487,0.455,0.980,1212.2999999999993
18488,0.455,0.985,1173.5
18489,0.455,0.990,1140.3999999999996
18490,0.455,0.995,1111.6000000000004
18491,0.455,1.000,1086.2000000000007
18681,0.460,0.945,1904.3999999999996
18682,0.460,0.950,1555.2999999999993
18683,0.460,0.955,1417.1000000000004
18684,0.460,0.960,1329.8999999999996
18685,0.460,0.965,1266.3999999999996
18686,0.460,0.970,1216.6000000000004
18687,0.460,0.975,1175.7000000000007
18688,0.460,0.980,1141.1000000000004
18689,0.460,0.985,1111.2000000000007
18690,0.460,0.990,1084.7999999999993
18691,0.460,0.995,1061.3999999999996
18692,0.460,1.000,1040.2000000000007
18881,0.465,0.940,1618.7999999999993
18882,0.465,0.945,1446.2999999999993
18883,0.465,0.950,1346.7000000000007
18884,0.465,0.955,1276.7999999999993
18885,0.465,0.960,1223.1000000000004
18886,0.465,0.965,1179.6000000000004
18887,0.465,0.970,1143.2000000000007
18888,0.465,0.975,1111.8999999999996
18889,0.465,0.980,1084.5
18890,0.465,0.985,1060.1000000000004
18891,0.465,0.990,1038.2999999999993
18892,0.465,0.995,1018.5
18893,0.465,1.000,1000.5
19080,0.470,0.930,1725.7999999999993
19081,0.470,0.935,1487.3999999999996
19082,0.470,0.940,1369.5
19083,0.470,0.945,1291.0
19084,0.470,0.950,1232.2999999999993
19085,0.470,0.955,1185.6000000000004
19086,0.470,0.960,1146.7999999999993
19087,0.470,0.965,1113.7999999999993
19088,0.470,0.970,1085.2000000000007
19089,0.470,0.975,1059.7999999999993
19090,0.470,0.980,1037.2000000000007
19091,0.470,0.985,1016.7000000000007
19092,0.470,0.990,998.1000000000004
19093,0.470,0.995,981.1000000000004
19094,0.470,1.000,965.2999999999993
19279,0.475,0.920,1977.2999999999993
19280,0.475,0.925,1547.7999999999993
19281,0.475,0.930,1400.3999999999996
19282,0.475,0.935,1309.8999999999996
19283,0.475,0.940,1244.6000000000004
19284,0.475,0.945,1193.7999999999993
19285,0.475,0.950,1152.2999999999993
19286,0.475,0.955,1117.2000000000007
19287,0.475,0.960,1087.0
19288,0.475,0.965,1060.5
19289,0.475,0.970,1036.8999999999996
19290,0.475,0.975,1015.7000000000007
19291,0.475,0.980,996.3999999999996
19292,0.475,0.985,978.7999999999993
19293,0.475,0.990,962.6000000000004
19294,0.475,0.995,947.7000000000007
19295,0.475,1.000,933.7000000000007
19479,0.480,0.915,1646.0
19480,0.480,0.920,1443.5
19481,0.480,0.925,1335.1000000000004
19482,0.480,0.930,1260.8999999999996
19483,0.480,0.935,1204.7999999999993
19484,0.480,0.940,1159.7999999999993
19485,0.480,0.945,1122.2999999999993
19486,0.480,0.950,1090.2999999999993
19487,0.480,0.955,1062.2999999999993
19488,0.480,0.960,1037.6000000000004
19489,0.480,0.965,1015.5
19490,0.480,0.970,995.5
19491,0.480,0.975,977.2000000000007
19492,0.480,0.980,960.5
19493,0.480,0.985,945.1000000000004
19494,0.480,0.990,930.7999999999993
19495,0.480,0.995,917.3999999999996
19496,0.480,1.000,905.0
19678,0.485,0.905,1854.3999999999996
19679,0.485,0.910,1506.7999999999993
19680,0.485,0.915,1369.1000000000004
19681,0.485,0.920,1282.3999999999996
19682,0.485,0.925,1219.2999999999993
19683,0.485,0.930,1169.8999999999996
19684,0.485,0.935,1129.2999999999993
19685,0.485,0.940,1095.0
19686,0.485,0.945,1065.3999999999996
19687,0.485,0.950,1039.2999999999993
19688,0.485,0.955,1016.2000000000007
19689,0.485,0.960,995.2999999999993
19690,0.485,0.965,976.2999999999993
19691,0.485,0.970,959.0
19692,0.485,0.975,943.1000000000004
19693,0.485,0.980,928.2999999999993
19694,0.485,0.985,914.6000000000004
19695,0.485,0.990,901.7999999999993
19696,0.485,0.995,889.7999999999993
19697,0.485,1.000,878.5
19878,0.490,0.900,1610.1000000000004
19879,0.490,0.905,1416.7999999999993
19880,0.490,0.910,1311.0
19881,0.490,0.915,1238.2999999999993
19882,0.490,0.920,1183.0
19883,0.490,0.925,1138.6000000000004
19884,0.490,0.930,1101.6000000000004
19885,0.490,0.935,1069.8999999999996
19886,0.490,0.940,1042.2999999999993
19887,0.490,0.945,1017.7999999999993
19888,0.490,0.950,996.0
19889,0.490,0.955,976.2000000000007
