,f,fv,value
19496,0.480,1.000,1640.5
19695,0.485,0.990,1811.7000000000007
19696,0.485,0.995,1514.2000000000007
19697,0.485,1.000,1383.8999999999996
19895,0.490,0.985,1608.3999999999996
19896,0.490,0.990,1430.0
19897,0.490,0.995,1328.3999999999996
19898,0.490,1.000,1257.3999999999996
20094,0.495,0.975,1796.6000000000004
20095,0.495,0.980,1497.1000000000004
20096,0.495,0.985,1366.5
20097,0.495,0.990,1282.5
20098,0.495,0.995,1220.6000000000004
20099,0.495,1.000,1171.7999999999993
20294,0.500,0.970,1606.8999999999996
20295,0.500,0.975,1419.7000000000007
20296,0.500,0.980,1315.5
20297,0.500,0.985,1243.2999999999993
20298,0.500,0.990,1188.2000000000007
20299,0.500,0.995,1143.7000000000007
20300,0.500,1.000,1106.6000000000004
20493,0.505,0.960,1858.0
20494,0.505,0.965,1499.7000000000007
20495,0.505,0.970,1360.2999999999993
20496,0.505,0.975,1272.7000000000007
20497,0.505,0.980,1209.0
20498,0.505,0.985,1159.1000000000004
20499,0.505,0.990,1118.1000000000004
20500,0.505,0.995,1083.5
20501,0.505,1.000,1053.6000000000004
20693,0.510,0.955,1641.7999999999993
20694,0.510,0.960,1424.6000000000004
20695,0.510,0.965,1312.0
20696,0.510,0.970,1235.8999999999996
20697,0.510,0.975,1178.5
20698,0.510,0.980,1132.7000000000007
20699,0.510,0.985,1094.6000000000004
20700,0.510,0.990,1062.1000000000004
20701,0.510,0.995,1033.7999999999993
20702,0.510,1.000,1008.7000000000007
20892,0.515,0.945,2163.8999999999996
20893,0.515,0.950,1527.5
20894,0.515,0.955,1366.7000000000007
20895,0.515,0.960,1271.2000000000007
20896,0.515,0.965,1203.5
20897,0.515,0.970,1151.1000000000004
20898,0.515,0.975,1108.5
20899,0.515,0.980,1072.7999999999993
20900,0.515,0.985,1042.0
20901,0.515,0.990,1015.1000000000004
20902,0.515,0.995,991.2000000000007
20903,0.515,1.000,969.7000000000007
21092,0.520,0.940,1746.0
21093,0.520,0.945,1449.2999999999993
21094,0.520,0.950,1319.5
21095,0.520,0.955,1236.0
21096,0.520,0.960,1174.5
21097,0.520,0.965,1126.1000000000004
21098,0.520,0.970,1086.2000000000007
21099,0.520,0.975,1052.3999999999996
21100,0.520,0.980,1023.2000000000007
21101,0.520,0.985,997.3999999999996
21102,0.520,0.990,974.3999999999996
21103,0.520,0.995,953.7999999999993
21104,0.520,1.000,935.0
21292,0.525,0.935,1597.7999999999993
21293,0.525,0.940,1389.7000000000007
21294,0.525,0.945,1279.7000000000007
21295,0.525,0.950,1204.7999999999993
21296,0.525,0.955,1148.2999999999993
21297,0.525,0.960,1103.1000000000004
21298,0.525,0.965,1065.3999999999996
21299,0.525,0.970,1033.2999999999993
21300,0.525,0.975,1005.2999999999993
21301,0.525,0.980,980.6000000000004
21302,0.525,0.985,958.5
21303,0.525,0.990,938.5
21304,0.525,0.995,920.2999999999993
21305,0.525,1.000,903.6000000000004
21491,0.530,0.925,2256.6000000000004
21492,0.530,0.930,1505.8999999999996
21493,0.530,0.935,1341.7000000000007
21494,0.530,0.940,1245.2000000000007
21495,0.530,0.945,1177.0
21496,0.530,0.950,1124.3999999999996
21497,0.530,0.955,1081.7999999999993
21498,0.530,0.960,1046.0
21499,0.530,0.965,1015.2999999999993
21500,0.530,0.970,988.3999999999996
21501,0.530,0.975,964.6000000000004
21502,0.530,0.980,943.2000000000007
21503,0.530,0.985,923.8999999999996
21504,0.530,0.990,906.2000000000007
21505,0.530,0.995,890.0
21506,0.530,1.000,875.0
21691,0.535,0.920,1788.1000000000004
21692,0.535,0.925,1439.2000000000007
21693,0.535,0.930,1301.5
21694,0.535,0.935,1214.7999999999993
21695,0.535,0.940,1151.7999999999993
21696,0.535,0.945,1102.3999999999996
21697,0.535,0.950,1061.8999999999996
21698,0.535,0.955,1027.7999999999993
21699,0.535,0.960,998.2999999999993
21700,0.535,0.965,972.3999999999996
21701,0.535,0.970,949.2999999999993
21702,0.535,0.975,928.6000000000004
21703,0.535,0.980,909.7000000000007
21704,0.535,0.985,892.5
21705,0.535,0.990,876.7000000000007
21706,0.535,0.995,862.1000000000004
21707,0.535,1.000,848.5
21891,0.540,0.915,1636.7000000000007
21892,0.540,0.920,1387.1000000000004
21893,0.540,0.925,1266.8999999999996
21894,0.540,0.930,1187.7000000000007
21895,0.540,0.935,1128.7000000000007
21896,0.540,0.940,1082.0
21897,0.540,0.945,1043.3999999999996
21898,0.540,0.950,1010.5
21899,0.540,0.955,982.1000000000004
21900,0.540,0.960,957.0
21901,0.540,0.965,934.6000000000004
21902,0.540,0.970,914.3999999999996
21903,0.540,0.975,896.1000000000004
21904,0.540,0.980,879.2999999999993
21905,0.540,0.985,863.8999999999996
21906,0.540,0.990,849.6000000000004
21907,0.540,0.995,836.2999999999993
21908,0.540,1.000,823.8999999999996
22091,0.545,0.910,1544.7000000000007
22092,0.545,0.915,1344.3999999999996
22093,0.545,0.920,1236.7000000000007
22094,0.545,0.925,1163.2000000000007
22095,0.545,0.930,1107.5
22096,0.545,0.935,1063.0
22097,0.545,0.940,1025.8999999999996
22098,0.545,0.945,994.2000000000007
22099,0.545,0.950,966.6000000000004
22100,0.545,0.955,942.2999999999993
22101,0.545,0.960,920.5
22102,0.545,0.965,900.7999999999993
22103,0.545,0.970,882.8999999999996
22104,0.545,0.975,866.5
22105,0.545,0.980,851.3999999999996
22106,0.545,0.985,837.3999999999996
22107,0.545,0.990,824.3999999999996
22108,0.545,0.995,812.2000000000007
22109,0.545,1.000,800.7999999999993
22291,0.550,0.905,1478.8999999999996
22292,0.550,0.910,1308.2999999999993
22293,0.550,0.915,1209.8999999999996
22294,0.550,0.920,1140.8999999999996
22295,0.550,0.925,1087.8999999999996
22296,0.550,0.930,1045.1000000000004
22297,0.550,0.935,1009.3999999999996
22298,0.550,0.940,978.7000000000007
22299,0.550,0.945,951.8999999999996
22300,0.550,0.950,928.2000000000007
22301,0.550,0.955,906.8999999999996
22302,0.550,0.960,887.7000000000007
22303,0.550,0.965,870.2000000000007
22304,0.550,0.970,854.1000000000004
22305,0.550,0.975,839.2999999999993
22306,0.550,0.980,825.5
22307,0.550,0.985,812.7000000000007
22308,0.550,0.990,800.7999999999993
22309,0.550,0.995,789.6000000000004
22310,0.550,1.000,779.0
22490,0.555,0.895,1904.1000000000004
22491,0.555,0.900,1428.2000000000007
22492,0.555,0.905,1277.2999999999993
22493,0.555,0.910,1185.7999999999993
22494,0.555,0.915,1120.3999999999996
22495,0.555,0.920,1069.7000000000007
22496,0.555,0.925,1028.3999999999996
22497,0.555,0.930,993.7000000000007
22498,0.555,0.935,963.7999999999993
22499,0.555,0.940,937.7000000000007
22500,0.555,0.945,914.5
22501,0.555,0.950,893.7000000000007
22502,0.555,0.955,874.8999999999996
22503,0.555,0.960,857.7000000000007
22504,0.555,0.965,842.0
22505,0.555,0.970,827.3999999999996
22506,0.555,0.975,813.8999999999996
22507,0.555,0.980,801.2999999999993
22508,0.555,0.985,789.6000000000004
22509,0.555,0.990,778.5
22510,0.555,0.995,768.2000000000007
22511,0.555,1.000,758.3999999999996
22690,0.560,0.890,1734.2999999999993
22691,0.560,0.895,1387.2999999999993
22692,0.560,0.900,1250.2000000000007
22693,0.560,0.905,1164.1000000000004
22694,0.560,0.910,1101.5
22695,0.560,0.915,1052.6000000000004
22696,0.560,0.920,1012.6000000000004
22697,0.560,0.925,978.7999999999993
22698,0.560,0.930,949.7000000000007
22699,0.560,0.935,924.1000000000004
22700,0.560,0.940,901.3999999999996
22701,0.560,0.945,881.0
22702,0.560,0.950,862.5
22703,0.560,0.955,845.7000000000007
22704,0.560,0.960,830.2000000000007
22705,0.560,0.965,815.7999999999993
22706,0.560,0.970,802.5
22707,0.560,0.975,790.2000000000007
22708,0.560,0.980,778.6000000000004
22709,0.560,0.985,767.7000000000007
22710,0.560,0.990,757.5
22711,0.560,0.995,747.7999999999993
22712,0.560,1.000,738.7000000000007
22890,0.565,0.885,1639.2999999999993
22891,0.565,0.890,1353.3999999999996
22892,0.565,0.895,1226.2999999999993
22893,0.565,0.900,1144.2999999999993
22894,0.565,0.905,1084.0
22895,0.565,0.910,1036.6000000000004
22896,0.565,0.915,997.6000000000004
22897,0.565,0.920,964.6000000000004
22898,0.565,0.925,936.1000000000004
22899,0.565,0.930,911.0
22900,0.565,0.935,888.7000000000007
22901,0.565,0.940,868.7000000000007
