,f,fv,value
25686,0.635,0.795,1827.7999999999993
25687,0.635,0.800,1615.7000000000007
25688,0.635,0.805,1523.5
25689,0.635,0.810,1472.5
25690,0.635,0.815,1443.7999999999993
25691,0.635,0.820,1430.6000000000004
25692,0.635,0.825,1430.0
25693,0.635,0.830,1441.5
25694,0.635,0.835,1466.5
25695,0.635,0.840,1509.2000000000007
25696,0.635,0.845,1580.0
25697,0.635,0.850,1710.2999999999993
25698,0.635,0.855,2134.7000000000007
25882,0.640,0.770,2290.6000000000004
25883,0.640,0.775,1536.1000000000004
25884,0.640,0.780,1387.5
25885,0.640,0.785,1306.7999999999993
25886,0.640,0.790,1254.7000000000007
25887,0.640,0.795,1218.7999999999993
25888,0.640,0.800,1193.3999999999996
25889,0.640,0.805,1175.6000000000004
25890,0.640,0.810,1163.7999999999993
25891,0.640,0.815,1157.0
25892,0.640,0.820,1154.6000000000004
25893,0.640,0.825,1156.2999999999993
25894,0.640,0.830,1162.1000000000004
25895,0.640,0.835,1172.1000000000004
25896,0.640,0.840,1186.7999999999993
25897,0.640,0.845,1206.8999999999996
25898,0.640,0.850,1233.7999999999993
25899,0.640,0.855,1269.3999999999996
25900,0.640,0.860,1317.7000000000007
25901,0.640,0.865,1386.2999999999993
25902,0.640,0.870,1494.7000000000007
25903,0.640,0.875,1722.2999999999993
26080,0.645,0.755,2375.2000000000007
26081,0.645,0.760,1444.8999999999996
26082,0.645,0.765,1292.5
26083,0.645,0.770,1209.2999999999993
26084,0.645,0.775,1154.7000000000007
26085,0.645,0.780,1115.8999999999996
26086,0.645,0.785,1087.1000000000004
26087,0.645,0.790,1065.5
26088,0.645,0.795,1049.2999999999993
26089,0.645,0.800,1037.2999999999993
26090,0.645,0.805,1028.7999999999993
26091,0.645,0.810,1023.2999999999993
26092,0.645,0.815,1020.6000000000004
26093,0.645,0.820,1020.3999999999996
26094,0.645,0.825,1022.6000000000004
26095,0.645,0.830,1027.2999999999993
26096,0.645,0.835,1034.5
26097,0.645,0.840,1044.2999999999993
26098,0.645,0.845,1057.0
26099,0.645,0.850,1073.1000000000004
26100,0.645,0.855,1093.2000000000007
26101,0.645,0.860,1118.0
26102,0.645,0.865,1149.1000000000004
26103,0.645,0.870,1188.6000000000004
26104,0.645,0.875,1240.5
26105,0.645,0.880,1312.7000000000007
26106,0.645,0.885,1425.1000000000004
26107,0.645,0.890,1661.2999999999993
26279,0.650,0.745,1607.0
26280,0.650,0.750,1302.7999999999993
26281,0.650,0.755,1184.2999999999993
26282,0.650,0.760,1113.5
26283,0.650,0.765,1065.0
26284,0.650,0.770,1029.5
26285,0.650,0.775,1002.6000000000004
26286,0.650,0.780,981.7999999999993
26287,0.650,0.785,965.6000000000004
26288,0.650,0.790,953.0
26289,0.650,0.795,943.3999999999996
26290,0.650,0.800,936.3999999999996
26291,0.650,0.805,931.6000000000004
26292,0.650,0.810,928.7999999999993
26293,0.650,0.815,927.7999999999993
26294,0.650,0.820,928.6000000000004
26295,0.650,0.825,931.2000000000007
26296,0.650,0.830,935.3999999999996
26297,0.650,0.835,941.3999999999996
26298,0.650,0.840,949.2000000000007
26299,0.650,0.845,959.1000000000004
26300,0.650,0.850,971.1000000000004
26301,0.650,0.855,985.6000000000004
26302,0.650,0.860,1003.0
26303,0.650,0.865,1023.8999999999996
26304,0.650,0.870,1048.8999999999996
