,f,fv,value
27130,0.670,0.980,2252.2999999999993
27131,0.670,0.985,1456.2999999999993
27132,0.670,0.990,1292.7000000000007
27133,0.670,0.995,1197.2000000000007
27134,0.670,1.000,1130.0
27327,0.675,0.960,1442.2999999999993
27328,0.675,0.965,1271.3999999999996
27329,0.675,0.970,1173.7000000000007
27330,0.675,0.975,1105.6000000000004
27331,0.675,0.980,1053.5
27332,0.675,0.985,1011.6000000000004
27333,0.675,0.990,976.7000000000007
27334,0.675,0.995,946.7999999999993
27335,0.675,1.000,920.7000000000007
27523,0.680,0.935,1507.2000000000007
27524,0.680,0.940,1283.1000000000004
27525,0.680,0.945,1170.6000000000004
27526,0.680,0.950,1095.7999999999993
27527,0.680,0.955,1040.0
27528,0.680,0.960,995.7000000000007
27529,0.680,0.965,959.2000000000007
27530,0.680,0.970,928.2999999999993
27531,0.680,0.975,901.3999999999996
27532,0.680,0.980,877.8999999999996
27533,0.680,0.985,856.8999999999996
27534,0.680,0.990,838.0
27535,0.680,0.995,820.8999999999996
27536,0.680,1.000,805.2000000000007
27719,0.685,0.910,1923.2999999999993
27720,0.685,0.915,1348.7999999999993
27721,0.685,0.920,1194.6000000000004
27722,0.685,0.925,1103.3999999999996
27723,0.685,0.930,1039.0
27724,0.685,0.935,989.6000000000004
27725,0.685,0.940,949.6000000000004
27726,0.685,0.945,916.2000000000007
27727,0.685,0.950,887.7000000000007
27728,0.685,0.955,862.7999999999993
27729,0.685,0.960,840.7999999999993
27730,0.685,0.965,821.2000000000007
27731,0.685,0.970,803.5
27732,0.685,0.975,787.2999999999993
27733,0.685,0.980,772.6000000000004
27734,0.685,0.985,759.0
27735,0.685,0.990,746.3999999999996
27736,0.685,0.995,734.7000000000007
27737,0.685,1.000,723.7999999999993
27916,0.690,0.890,1608.1000000000004
27917,0.690,0.895,1270.5
27918,0.690,0.900,1138.0
27919,0.690,0.905,1055.2999999999993
27920,0.690,0.910,995.7000000000007
27921,0.690,0.915,949.3999999999996
27922,0.690,0.920,911.7000000000007
27923,0.690,0.925,880.1000000000004
27924,0.690,0.930,852.8999999999996
27925,0.690,0.935,829.2000000000007
27926,0.690,0.940,808.2000000000007
27927,0.690,0.945,789.3999999999996
27928,0.690,0.950,772.3999999999996
27929,0.690,0.955,757.0
27930,0.690,0.960,742.8999999999996
27931,0.690,0.965,729.7999999999993
27932,0.690,0.970,717.7999999999993
27933,0.690,0.975,706.6000000000004
27934,0.690,0.980,696.1000000000004
27935,0.690,0.985,686.2999999999993
27936,0.690,0.990,677.1000000000004
27937,0.690,0.995,668.5
27938,0.690,1.000,660.2999999999993
28113,0.695,0.870,1558.7999999999993
28114,0.695,0.875,1232.0
28115,0.695,0.880,1102.0
28116,0.695,0.885,1020.7999999999993
28117,0.695,0.890,962.3999999999996
28118,0.695,0.895,917.0
28119,0.695,0.900,880.1000000000004
28120,0.695,0.905,849.1000000000004
28121,0.695,0.910,822.6000000000004
28122,0.695,0.915,799.5
28123,0.695,0.920,779.0
28124,0.695,0.925,760.7000000000007
28125,0.695,0.930,744.2000000000007
28126,0.695,0.935,729.2000000000007
28127,0.695,0.940,715.5
28128,0.695,0.945,702.7999999999993
28129,0.695,0.950,691.1000000000004
28130,0.695,0.955,680.2000000000007
28131,0.695,0.960,670.1000000000004
28132,0.695,0.965,660.6000000000004
28133,0.695,0.970,651.7000000000007
28134,0.695,0.975,643.2999999999993
28135,0.695,0.980,635.3999999999996
28136,0.695,0.985,627.8999999999996
28137,0.695,0.990,620.8999999999996
28138,0.695,0.995,614.1000000000004
28139,0.695,1.000,607.7000000000007
28310,0.700,0.850,1695.8999999999996
28311,0.700,0.855,1227.7000000000007
28312,0.700,0.860,1083.7999999999993
28313,0.700,0.865,998.0
28314,0.700,0.870,937.3999999999996
28315,0.700,0.875,891.0
28316,0.700,0.880,853.6000000000004
28317,0.700,0.885,822.5
28318,0.700,0.890,796.0
28319,0.700,0.895,772.8999999999996
28320,0.700,0.900,752.6000000000004
28321,0.700,0.905,734.5
28322,0.700,0.910,718.2000000000007
28323,0.700,0.915,703.3999999999996
28324,0.700,0.920,689.8999999999996
28325,0.700,0.925,677.3999999999996
28326,0.700,0.930,666.0
28327,0.700,0.935,655.2999999999993
28328,0.700,0.940,645.3999999999996
28329,0.700,0.945,636.2000000000007
28330,0.700,0.950,627.5
28331,0.700,0.955,619.2999999999993
28332,0.700,0.960,611.6000000000004
28333,0.700,0.965,604.3999999999996
28334,0.700,0.970,597.5
28335,0.700,0.975,590.8999999999996
28336,0.700,0.980,584.7000000000007
28337,0.700,0.985,578.7999999999993
28338,0.700,0.990,573.1000000000004
28339,0.700,0.995,567.7000000000007
28340,0.700,1.000,562.5
