,f,fv,value
18290,0.450,1.000,868.0
18489,0.455,0.990,922.7999999999993
18490,0.455,0.995,778.0
18491,0.455,1.000,713.6000000000004
18688,0.460,0.980,1061.3999999999996
18689,0.460,0.985,803.0
18690,0.460,0.990,725.7000000000007
18691,0.460,0.995,679.0
18692,0.460,1.000,645.5
18888,0.465,0.975,842.0
18889,0.465,0.980,742.2999999999993
18890,0.465,0.985,688.3999999999996
18891,0.465,0.990,651.5
18892,0.465,0.995,623.3999999999996
18893,0.465,1.000,600.7999999999993
19087,0.470,0.965,913.7999999999993
19088,0.470,0.970,766.0
19089,0.470,0.975,701.2000000000007
19090,0.470,0.980,659.3999999999996
19091,0.470,0.985,628.6000000000004
19092,0.470,0.990,604.2999999999993
19093,0.470,0.995,584.2000000000007
19094,0.470,1.000,567.2000000000007
19286,0.475,0.955,1227.7999999999993
19287,0.475,0.960,801.7999999999993
19288,0.475,0.965,718.7000000000007
19289,0.475,0.970,670.0
19290,0.475,0.975,635.6000000000004
19291,0.475,0.980,609.0
19292,0.475,0.985,587.5
19293,0.475,0.990,569.3999999999996
19294,0.475,0.995,553.7999999999993
19295,0.475,1.000,540.2000000000007
19486,0.480,0.950,863.7000000000007
19487,0.480,0.955,743.2999999999993
19488,0.480,0.960,684.1000000000004
19489,0.480,0.965,644.7000000000007
19490,0.480,0.970,615.2999999999993
19491,0.480,0.975,591.7999999999993
19492,0.480,0.980,572.3999999999996
19493,0.480,0.985,555.8999999999996
19494,0.480,0.990,541.5
19495,0.480,0.995,528.7999999999993
19496,0.480,1.000,517.3999999999996
19685,0.485,0.940,1037.0
19686,0.485,0.945,780.1000000000004
19687,0.485,0.950,703.1000000000004
19688,0.485,0.955,656.6000000000004
19689,0.485,0.960,623.3999999999996
19690,0.485,0.965,597.6000000000004
19691,0.485,0.970,576.5
19692,0.485,0.975,558.7999999999993
19693,0.485,0.980,543.5
19694,0.485,0.985,530.1000000000004
19695,0.485,0.990,518.2000000000007
19696,0.485,0.995,507.39999999999964
19697,0.485,1.000,497.7000000000007
19885,0.490,0.935,844.2000000000007
19886,0.490,0.940,730.1000000000004
19887,0.490,0.945,672.5
19888,0.490,0.950,633.8999999999996
19889,0.490,0.955,604.8999999999996
19890,0.490,0.960,581.7999999999993
19891,0.490,0.965,562.6000000000004
19892,0.490,0.970,546.2999999999993
19893,0.490,0.975,532.0
19894,0.490,0.980,519.5
19895,0.490,0.985,508.2000000000007
19896,0.490,0.990,498.0
19897,0.490,0.995,488.7999999999993
19898,0.490,1.000,480.2999999999993
20084,0.495,0.925,1032.1000000000004
20085,0.495,0.930,771.2999999999993
20086,0.495,0.935,694.2000000000007
20087,0.495,0.940,647.7000000000007
20088,0.495,0.945,614.3999999999996
20089,0.495,0.950,588.6000000000004
20090,0.495,0.955,567.6000000000004
20091,0.495,0.960,549.8999999999996
20092,0.495,0.965,534.7000000000007
20093,0.495,0.970,521.2999999999993
20094,0.495,0.975,509.5
20095,0.495,0.980,498.7999999999993
