,f,fv,value
28338,0.700,0.990,1390.3999999999996
28339,0.700,0.995,1214.0
28340,0.700,1.000,1113.8999999999996
28535,0.705,0.970,1483.3999999999996
28536,0.705,0.975,1238.1000000000004
28537,0.705,0.980,1119.5
28538,0.705,0.985,1041.2999999999993
28539,0.705,0.990,983.2999999999993
28540,0.705,0.995,937.3999999999996
28541,0.705,1.000,899.6000000000004
28732,0.710,0.950,2086.3999999999996
28733,0.710,0.955,1312.5
28734,0.710,0.960,1148.7999999999993
28735,0.710,0.965,1053.2999999999993
28736,0.710,0.970,986.1000000000004
28737,0.710,0.975,934.7000000000007
28738,0.710,0.980,893.2000000000007
28739,0.710,0.985,858.6000000000004
28740,0.710,0.990,829.0
28741,0.710,0.995,803.2000000000007
28742,0.710,1.000,780.5
28930,0.715,0.935,1560.1000000000004
28931,0.715,0.940,1222.8999999999996
28932,0.715,0.945,1088.1000000000004
28933,0.715,0.950,1003.5
28934,0.715,0.955,942.2000000000007
28935,0.715,0.960,894.5
28936,0.715,0.965,855.6000000000004
28937,0.715,0.970,822.8999999999996
28938,0.715,0.975,794.8999999999996
28939,0.715,0.980,770.3999999999996
28940,0.715,0.985,748.7000000000007
28941,0.715,0.990,729.2999999999993
28942,0.715,0.995,711.7999999999993
28943,0.715,1.000,695.7999999999993
29128,0.720,0.920,1444.8999999999996
29129,0.720,0.925,1169.1000000000004
29130,0.720,0.930,1044.8999999999996
29131,0.720,0.935,964.8999999999996
29132,0.720,0.940,906.3999999999996
29133,0.720,0.945,860.5
29134,0.720,0.950,823.0
29135,0.720,0.955,791.3999999999996
29136,0.720,0.960,764.2999999999993
29137,0.720,0.965,740.6000000000004
29138,0.720,0.970,719.5
29139,0.720,0.975,700.7000000000007
29140,0.720,0.980,683.7999999999993
29141,0.720,0.985,668.2999999999993
29142,0.720,0.990,654.2000000000007
29143,0.720,0.995,641.2000000000007
29144,0.720,1.000,629.2000000000007
29326,0.725,0.905,1417.1000000000004
29327,0.725,0.910,1139.1000000000004
29328,0.725,0.915,1014.8999999999996
29329,0.725,0.920,935.2999999999993
29330,0.725,0.925,877.1000000000004
29331,0.725,0.930,831.6000000000004
29332,0.725,0.935,794.5
29333,0.725,0.940,763.2999999999993
29334,0.725,0.945,736.5
29335,0.725,0.950,713.1000000000004
29336,0.725,0.955,692.5
29337,0.725,0.960,674.0
29338,0.725,0.965,657.3999999999996
29339,0.725,0.970,642.2000000000007
29340,0.725,0.975,628.3999999999996
29341,0.725,0.980,615.7000000000007
29342,0.725,0.985,604.0
29343,0.725,0.990,593.1000000000004
29344,0.725,0.995,583.0
29345,0.725,1.000,573.5
29524,0.730,0.890,1475.5
29525,0.730,0.895,1131.5
29526,0.730,0.900,997.0
29527,0.730,0.905,913.5
29528,0.730,0.910,853.3999999999996
29529,0.730,0.915,806.8999999999996
29530,0.730,0.920,769.2999999999993
29531,0.730,0.925,737.8999999999996
29532,0.730,0.930,711.0
29533,0.730,0.935,687.6000000000004
29534,0.730,0.940,667.0
29535,0.730,0.945,648.7000000000007
29536,0.730,0.950,632.2000000000007
29537,0.730,0.955,617.2000000000007
29538,0.730,0.960,603.6000000000004
29539,0.730,0.965,591.1000000000004
29540,0.730,0.970,579.6000000000004
29541,0.730,0.975,568.8999999999996
29542,0.730,0.980,559.0
29543,0.730,0.985,549.7000000000007
29544,0.730,0.990,541.0
29545,0.730,0.995,532.8999999999996
29546,0.730,1.000,525.2000000000007
29722,0.735,0.875,1921.8999999999996
29723,0.735,0.880,1153.3999999999996
29724,0.735,0.885,992.6000000000004
29725,0.735,0.890,899.7999999999993
29726,0.735,0.895,835.2000000000007
29727,0.735,0.900,786.2999999999993
29728,0.735,0.905,747.1000000000004
29729,0.735,0.910,714.7999999999993
29730,0.735,0.915,687.2999999999993
29731,0.735,0.920,663.6000000000004
29732,0.735,0.925,642.7999999999993
29733,0.735,0.930,624.3999999999996
29734,0.735,0.935,607.8999999999996
29735,0.735,0.940,593.0
29736,0.735,0.945,579.3999999999996
29737,0.735,0.950,567.0
29738,0.735,0.955,555.6000000000004
29739,0.735,0.960,545.1000000000004
29740,0.735,0.965,535.2999999999993
29741,0.735,0.970,526.2000000000007
29742,0.735,0.975,517.7000000000007
29743,0.735,0.980,509.7000000000007
29744,0.735,0.985,502.2000000000007
29745,0.735,0.990,495.2000000000007
29746,0.735,0.995,488.5
29747,0.735,1.000,482.2000000000007
29921,0.740,0.865,1234.2999999999993
29922,0.740,0.870,1007.2999999999993
29923,0.740,0.875,896.0
29924,0.740,0.880,823.1000000000004
29925,0.740,0.885,769.6000000000004
29926,0.740,0.890,727.7999999999993
29927,0.740,0.895,693.7000000000007
29928,0.740,0.900,665.2000000000007
29929,0.740,0.905,640.7000000000007
29930,0.740,0.910,619.5
29931,0.740,0.915,600.7000000000007
29932,0.740,0.920,584.1000000000004
29933,0.740,0.925,569.1000000000004
29934,0.740,0.930,555.5
29935,0.740,0.935,543.1000000000004
29936,0.740,0.940,531.7999999999993
29937,0.740,0.945,521.3999999999996
29938,0.740,0.950,511.7000000000007
29939,0.740,0.955,502.7000000000007
29940,0.740,0.960,494.39999999999964
29941,0.740,0.965,486.60000000000036
29942,0.740,0.970,479.2999999999993
29943,0.740,0.975,472.39999999999964
29944,0.740,0.980,465.89999999999964
29945,0.740,0.985,459.7000000000007
29946,0.740,0.990,453.89999999999964
29947,0.740,0.995,448.39999999999964
29948,0.740,1.000,443.2000000000007
30119,0.745,0.850,1614.8999999999996
30120,0.745,0.855,1057.6000000000004
30121,0.745,0.860,906.7999999999993
30122,0.745,0.865,818.7999999999993
30123,0.745,0.870,757.6000000000004
30124,0.745,0.875,711.3999999999996
30125,0.745,0.880,674.6000000000004
30126,0.745,0.885,644.2999999999993
30127,0.745,0.890,618.7000000000007
30128,0.745,0.895,596.6000000000004
30129,0.745,0.900,577.3999999999996
30130,0.745,0.905,560.3999999999996
30131,0.745,0.910,545.2000000000007
30132,0.745,0.915,531.5
30133,0.745,0.920,519.1000000000004
30134,0.745,0.925,507.7999999999993
30135,0.745,0.930,497.5
30136,0.745,0.935,487.89999999999964
30137,0.745,0.940,479.10000000000036
30138,0.745,0.945,470.89999999999964
30139,0.745,0.950,463.2000000000007
30140,0.745,0.955,456.0
30141,0.745,0.960,449.2999999999993
30142,0.745,0.965,443.0
30143,0.745,0.970,437.0
30144,0.745,0.975,431.39999999999964
30145,0.745,0.980,426.0
30146,0.745,0.985,421.0
30147,0.745,0.990,416.10000000000036
30148,0.745,0.995,411.60000000000036
30149,0.745,1.000,407.2000000000007
30318,0.750,0.840,1216.2999999999993
30319,0.750,0.845,944.7999999999993
30320,0.750,0.850,826.2999999999993
30321,0.750,0.855,751.7999999999993
30322,0.750,0.860,698.3999999999996
30323,0.750,0.865,657.2999999999993
30324,0.750,0.870,624.3999999999996
30325,0.750,0.875,597.0
30326,0.750,0.880,573.8999999999996
30327,0.750,0.885,553.8999999999996
30328,0.750,0.890,536.3999999999996
30329,0.750,0.895,520.8999999999996
30330,0.750,0.900,507.10000000000036
30331,0.750,0.905,494.60000000000036
30332,0.750,0.910,483.39999999999964
30333,0.750,0.915,473.0
30334,0.750,0.920,463.60000000000036
30335,0.750,0.925,454.7999999999993
30336,0.750,0.930,446.7999999999993
30337,0.750,0.935,439.2999999999993
30338,0.750,0.940,432.2999999999993
30339,0.750,0.945,425.7000000000007
30340,0.750,0.950,419.60000000000036
30341,0.750,0.955,413.7999999999993
30342,0.750,0.960,408.2999999999993
30343,0.750,0.965,403.2000000000007
30344,0.750,0.970,398.2999999999993
30345,0.750,0.975,393.7000000000007
30346,0.750,0.980,389.2000000000007
30347,0.750,0.985,385.10000000000036
30348,0.750,0.990,381.10000000000036
30349,0.750,0.995,377.2000000000007
30350,0.750,1.000,373.60000000000036
30517,0.755,0.830,1058.6000000000004
30518,0.755,0.835,856.6000000000004
30519,0.755,0.840,755.6000000000004
30520,0.755,0.845,689.8999999999996
30521,0.755,0.850,642.1000000000004
30522,0.755,0.855,605.2000000000007
30523,0.755,0.860,575.3999999999996
30524,0.755,0.865,550.6000000000004
30525,0.755,0.870,529.7000000000007
30526,0.755,0.875,511.60000000000036
30527,0.755,0.880,495.7000000000007
30528,0.755,0.885,481.7000000000007
30529,0.755,0.890,469.2000000000007
30530,0.755,0.895,457.89999999999964
30531,0.755,0.900,447.60000000000036
30532,0.755,0.905,438.2999999999993
30533,0.755,0.910,429.7000000000007
30534,0.755,0.915,421.7999999999993
30535,0.755,0.920,414.5
30536,0.755,0.925,407.7000000000007
30537,0.755,0.930,401.2999999999993
30538,0.755,0.935,395.39999999999964
30539,0.755,0.940,389.7999999999993
30540,0.755,0.945,384.60000000000036
30541,0.755,0.950,379.60000000000036
30542,0.755,0.955,375.0
30543,0.755,0.960,370.5
30544,0.755,0.965,366.2999999999993
30545,0.755,0.970,362.2999999999993
30546,0.755,0.975,358.5
30547,0.755,0.980,354.89999999999964
30548,0.755,0.985,351.5
30549,0.755,0.990,348.2000000000007
30550,0.755,0.995,345.0
30551,0.755,1.000,341.89999999999964
30716,0.760,0.820,950.8999999999996
30717,0.760,0.825,778.7999999999993
30718,0.760,0.830,688.7000000000007
30719,0.760,0.835,629.5
30720,0.760,0.840,586.3999999999996
30721,0.760,0.845,553.0
30722,0.760,0.850,526.2000000000007
30723,0.760,0.855,503.89999999999964
30724,0.760,0.860,485.10000000000036
30725,0.760,0.865,468.7999999999993
30726,0.760,0.870,454.60000000000036
30727,0.760,0.875,442.0
30728,0.760,0.880,430.7999999999993
30729,0.760,0.885,420.7000000000007
30730,0.760,0.890,411.5
